                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 0.1665,               0.083043,                0.98217,                      1,              0.0004901
                      1,                0.12044,               0.078239,                0.98354,                      1,              0.0004802
                      2,                0.10337,               0.048015,                0.99588,                      1,              0.0004703
                      3,               0.097974,               0.093272,                0.97942,                      1,              0.0004604
                      4,               0.093215,               0.068406,                0.98903,                      1,              0.0004505
                      5,               0.091811,               0.052655,                0.99451,                      1,              0.0004406
                      6,               0.090563,               0.065961,                0.99177,                      1,              0.0004307
                      7,                0.09148,               0.072071,                0.98903,                      1,              0.0004208
                      8,               0.087261,               0.050254,                0.99314,                      1,              0.0004109
                      9,               0.080347,               0.058747,                 0.9904,                      1,               0.000401
                     10,               0.081441,               0.041696,                0.99863,                      1,              0.0003911
                     11,               0.086185,               0.050905,                0.99314,                      1,              0.0003812
                     12,               0.076433,               0.044341,                0.99588,                      1,              0.0003713
                     13,               0.079867,               0.056117,                0.98903,                      1,              0.0003614
                     14,               0.075163,               0.048297,                0.99588,                      1,              0.0003515
                     15,               0.067847,               0.043883,                0.99726,                      1,              0.0003416
                     16,               0.082841,               0.046413,                0.99726,                      1,              0.0003317
                     17,               0.073295,               0.044061,                0.99726,                      1,              0.0003218
                     18,               0.066178,               0.042418,                0.99863,                      1,              0.0003119
                     19,               0.072879,               0.040075,                      1,                      1,               0.000302
                     20,               0.071891,               0.041107,                      1,                      1,              0.0002921
                     21,               0.069883,               0.048397,                0.99726,                      1,              0.0002822
                     22,               0.070347,               0.045737,                0.99588,                      1,              0.0002723
                     23,               0.067398,                0.04703,                0.99177,                      1,              0.0002624
                     24,               0.062164,               0.042603,                0.99726,                      1,              0.0002525
                     25,               0.062876,               0.042786,                0.99863,                      1,              0.0002426
                     26,               0.057553,                0.03726,                      1,                      1,              0.0002327
                     27,               0.064669,               0.039465,                      1,                      1,              0.0002228
                     28,               0.060049,               0.037736,                0.99863,                      1,              0.0002129
                     29,               0.062158,               0.037599,                      1,                      1,               0.000203
                     30,               0.060254,               0.038974,                0.99726,                      1,              0.0001931
                     31,               0.056774,               0.037348,                0.99863,                      1,              0.0001832
                     32,               0.055911,                0.03842,                      1,                      1,              0.0001733
                     33,               0.055175,               0.036458,                      1,                      1,              0.0001634
                     34,               0.052007,               0.035791,                      1,                      1,              0.0001535
                     35,               0.050824,                0.03575,                      1,                      1,              0.0001436
                     36,               0.051791,               0.036947,                0.99726,                      1,              0.0001337
                     37,               0.054558,               0.036562,                0.99863,                      1,              0.0001238
                     38,               0.052675,               0.036807,                0.99863,                      1,              0.0001139
                     39,               0.050605,               0.036039,                0.99863,                      1,               0.000104
                     40,               0.048174,               0.038553,                      1,                      1,               9.41e-05
                     41,               0.047784,                0.03582,                      1,                      1,               8.42e-05
                     42,               0.045731,               0.034882,                      1,                      1,               7.43e-05
                     43,               0.044801,               0.036197,                0.99863,                      1,               6.44e-05
                     44,               0.046356,               0.035779,                0.99863,                      1,               5.45e-05
                     45,               0.041357,               0.035193,                0.99863,                      1,               4.46e-05
                     46,               0.042599,               0.034492,                      1,                      1,               3.47e-05
                     47,               0.039725,               0.034252,                      1,                      1,               2.48e-05
                     48,               0.039177,               0.034628,                      1,                      1,               1.49e-05
                     49,               0.038045,               0.034226,                      1,                      1,                  5e-06
